Site,Day,Date,StartTime,EndTime,Flow
N01171A,SU,02-08-2020,12:45,13:00,201
N01171A,SU,02-08-2020,13:00,13:15,135
N01171A,SU,02-08-2020,13:15,13:30,134
N01171A,SU,02-08-2020,13:30,13:45,180
N01171A,SU,02-08-2020,13:45,14:00,168
N01171A,SU,02-08-2020,14:00,14:15,139
N01171A,SU,02-08-2020,14:15,14:30,162
N01171A,SU,02-08-2020,14:30,14:45,107
N01171A,SU,02-08-2020,14:45,15:00,183
N01171A,SU,02-08-2020,15:00,15:15,203
N01171A,SU,02-08-2020,15:15,15:30,119
N01171A,SU,02-08-2020,15:30,15:45,223
N01171A,SU,02-08-2020,15:45,16:00,189
N01171A,SU,02-08-2020,16:00,16:15,113
N01171A,SU,02-08-2020,16:15,16:30,123
N01171A,SU,02-08-2020,16:30,16:45,146
N01171A,SU,02-08-2020,16:45,17:00,140
N01171A,SU,02-08-2020,17:00,17:15,169
N01171A,SU,02-08-2020,17:15,17:30,132
N01171A,SU,02-08-2020,17:30,17:45,109
N01171A,SU,02-08-2020,17:45,18:00,161
N01171A,SU,02-08-2020,18:00,18:15,134
N01171A,SU,02-08-2020,18:15,18:30,110
N01171A,SU,02-08-2020,18:30,18:45,102
N01171A,SU,02-08-2020,18:45,19:00,129
N01171A,SU,02-08-2020,19:00,19:15,94
N01171A,SU,02-08-2020,19:15,19:30,95
N01171A,SU,02-08-2020,19:30,19:45,117
N01171A,SU,02-08-2020,19:45,20:00,104
N01171A,SU,02-08-2020,20:00,20:15,110
N01171A,SU,02-08-2020,20:15,20:30,87
N01171A,SU,02-08-2020,20:30,20:45,120
N01171A,SU,02-08-2020,20:45,21:00,87
N01171A,SU,02-08-2020,21:00,21:15,72
N01171A,SU,02-08-2020,21:15,21:30,101
N01171A,SU,02-08-2020,21:30,21:45,69
N01171A,SU,02-08-2020,21:45,22:00,72
N01171A,SU,02-08-2020,22:00,22:15,59
N01171A,SU,02-08-2020,22:15,22:30,68
N01171A,SU,02-08-2020,22:30,22:45,48
N01171A,SU,02-08-2020,22:45,23:00,74
N01171A,SU,02-08-2020,23:00,23:15,71
N01171A,SU,02-08-2020,23:15,23:30,51
N01171A,SU,02-08-2020,23:30,23:45,73
N01171A,SU,02-08-2020,23:45,24:00,51
N01171A,MO,03-08-2020,00:00,00:15,68
N01171A,MO,03-08-2020,00:15,00:30,54
N01171A,MO,03-08-2020,00:30,00:45,17
N01171A,MO,03-08-2020,00:45,01:00,36
N01171A,MO,03-08-2020,01:00,01:15,21
N01171A,MO,03-08-2020,01:15,01:30,28
N01171A,MO,03-08-2020,01:30,01:45,12
N01171A,MO,03-08-2020,01:45,02:00,25
N01171A,MO,03-08-2020,02:00,02:15,25
N01171A,MO,03-08-2020,02:15,02:30,7
N01171A,MO,03-08-2020,02:30,02:45,17
N01171A,MO,03-08-2020,02:45,03:00,24
N01171A,MO,03-08-2020,03:00,03:15,9
N01171A,MO,03-08-2020,03:15,03:30,22
N01171A,MO,03-08-2020,03:30,03:45,15
N01171A,MO,03-08-2020,03:45,04:00,19
N01171A,MO,03-08-2020,04:00,04:15,4
N01171A,MO,03-08-2020,04:15,04:30,22
N01171A,MO,03-08-2020,04:30,04:45,12
N01171A,MO,03-08-2020,04:45,05:00,37
N01171A,MO,03-08-2020,05:00,05:15,32
N01171A,MO,03-08-2020,05:15,05:30,41
N01171A,MO,03-08-2020,05:30,05:45,41
N01171A,MO,03-08-2020,05:45,06:00,57
N01171A,MO,03-08-2020,06:00,06:15,84
N01171A,MO,03-08-2020,06:15,06:30,43
N01171A,MO,03-08-2020,06:30,06:45,86
N01171A,MO,03-08-2020,06:45,07:00,64
N01171A,MO,03-08-2020,07:00,07:15,103
N01171A,MO,03-08-2020,07:15,07:30,152
N01171A,MO,03-08-2020,07:30,07:45,171
N01171A,MO,03-08-2020,07:45,08:00,147
N01171A,MO,03-08-2020,08:00,08:15,117
N01171A,MO,03-08-2020,08:15,08:30,103
N01171A,MO,03-08-2020,08:30,08:45,120
N01171A,MO,03-08-2020,08:45,09:00,107
N01171A,MO,03-08-2020,09:00,09:15,92
N01171A,MO,03-08-2020,09:15,09:30,114
N01171A,MO,03-08-2020,09:30,09:45,155
N01171A,MO,03-08-2020,09:45,10:00,172
N01171A,MO,03-08-2020,10:00,10:15,144
N01171A,MO,03-08-2020,10:15,10:30,169
N01171A,MO,03-08-2020,10:30,10:45,144
N01171A,MO,03-08-2020,10:45,11:00,197
N01171A,MO,03-08-2020,11:00,11:15,179
N01171A,MO,03-08-2020,11:15,11:30,197
N01171A,MO,03-08-2020,11:30,11:45,162
N01171A,MO,03-08-2020,11:45,12:00,145
N01171A,MO,03-08-2020,12:00,12:15,154
N01171A,MO,03-08-2020,12:15,12:30,152
N01171A,MO,03-08-2020,12:30,12:45,221
N01171A,MO,03-08-2020,12:45,13:00,232
N01171A,MO,03-08-2020,13:00,13:15,159
